nombre,precio_alquiler,precio_venta,superficie_venta,codi_districte,nom_districte,codi_barri,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars,año,num_mes,trimestre,dia_semana,precio_alquiler_lag_1,precio_alquiler_lag_3,precio_alquiler_lag_6,precio_alquiler_lag_12
la sagrada familia,16.321761036616,4138.72340425532,3253.6666666666665,2,1,6,1.0,1,2,2,2023,3,1,2,16.370304964984403,16.295509202646567,15.8427609809039,14.83623844049545
la sagrada familia,16.2732171082476,3911.42857142857,3140.5,2,1,6,1.0,1,2,2,2023,4,2,5,16.321761036616,16.418848893352802,16.0488298212341,14.6556920590496
la sagrada familia,16.3287655250261,3903.0,3027.3333333333335,2,1,6,1.0,1,2,2,2023,5,2,0,16.2732171082476,16.370304964984403,16.172169511940336,14.914002472780899
la sagrada familia,16.3843139418046,3794.72222222222,2914.1666666666665,2,1,6,1.0,1,2,2,2023,6,2,3,16.3287655250261,16.321761036616,16.295509202646567,15.1723128865122
la sagrada familia,16.4398623585831,4062.38775510204,2801.0,2,1,6,1.0,1,2,2,2023,7,3,5,16.3843139418046,16.2732171082476,16.418848893352802,15.4306233002435
la sagrada familia,16.975623897918734,3986.66666666667,2592.0,2,1,6,1.0,1,2,2,2023,8,3,1,16.4398623585831,16.3287655250261,16.370304964984403,15.6366921405737
la sagrada familia,17.511385437254365,4011.42857142857,3156.6,2,1,6,1.0,1,2,2,2023,9,3,4,16.975623897918734,16.3843139418046,16.321761036616,15.8427609809039
la sagrada familia,18.04714697659,4253.69642857143,3721.2,2,1,6,1.0,1,2,2,2023,10,4,6,17.511385437254365,16.4398623585831,16.2732171082476,16.0488298212341
la sagrada familia,17.833999619572516,4495.96428571429,4285.8,2,1,6,1.0,1,2,2,2023,11,4,2,18.04714697659,16.975623897918734,16.3287655250261,16.172169511940336
la sagrada familia,17.620852262555033,4346.11764705882,4850.4,2,1,6,1.0,1,2,2,2023,12,4,4,17.833999619572516,17.511385437254365,16.3843139418046,16.295509202646567
la sagrada familia,17.40770490553755,4405.650054945055,5415.0,2,1,6,1.0,1,2,2,2024,1,1,0,17.620852262555033,18.04714697659,16.4398623585831,16.418848893352802
la sagrada familia,17.1814599833821,4564.50877192983,5415.0,2,1,6,1.0,1,2,2,2024,2,1,3,17.40770490553755,17.833999619572516,16.975623897918734,16.370304964984403
la sagrada familia,16.95521506122665,4087.58823529412,5415.0,2,1,6,1.0,1,2,2,2024,3,1,4,17.1814599833821,17.620852262555033,17.511385437254365,16.321761036616
la sagrada familia,16.7289701390712,4437.84,5415.0,2,1,6,1.0,1,2,2,2024,4,2,0,16.95521506122665,17.40770490553755,18.04714697659,16.2732171082476
la sagrada familia,16.7289701390712,4428.09677419355,5415.0,2,1,6,1.0,1,2,2,2024,5,2,2,16.7289701390712,17.1814599833821,17.833999619572516,16.3287655250261
la sagrada familia,16.7289701390712,4288.39130434783,5415.0,2,1,6,1.0,1,2,2,2024,6,2,5,16.7289701390712,16.95521506122665,17.620852262555033,16.3843139418046
la sagrada familia,16.7289701390712,4326.77419354839,5415.0,2,1,6,1.0,1,2,2,2024,7,3,0,16.7289701390712,16.7289701390712,17.40770490553755,16.4398623585831
la sagrada familia,16.7289701390712,4103.08,5415.0,2,1,6,1.0,1,2,2,2024,8,3,3,16.7289701390712,16.7289701390712,17.1814599833821,16.975623897918734
la sagrada familia,16.7289701390712,4215.38888888889,5415.0,2,1,6,1.0,1,2,2,2024,9,3,6,16.7289701390712,16.7289701390712,16.95521506122665,17.511385437254365
la sagrera,9.292063671875,2128.65459057072,159.33333333333334,9,6,61,1.0,2,2,2,2015,1,1,3,9.188042447916667,8.98,8.34,9.165
la sagrera,9.389948144119197,2168.85714285714,153.5,9,6,61,1.0,2,2,2,2015,2,1,6,9.292063671875,9.084021223958334,8.553333333333333,9.363333333333333
la sagrera,9.487832616363393,2085.4,147.66666666666666,9,6,61,1.0,2,2,2,2015,3,1,6,9.389948144119197,9.188042447916667,8.766666666666667,9.561666666666666
la sagrera,9.58571708860759,2826.28571428571,141.83333333333334,9,6,61,1.0,2,2,2,2015,4,2,2,9.487832616363393,9.292063671875,8.98,9.76
la sagrera,9.68451139240506,1778.66666666667,136.0,9,6,61,1.0,2,2,2,2015,5,2,4,9.58571708860759,9.389948144119197,9.084021223958334,9.286666666666667
la sagrera,9.783305696202529,2273.09090909091,130.16666666666669,9,6,61,1.0,2,2,2,2015,6,2,0,9.68451139240506,9.487832616363393,9.188042447916667,8.813333333333333
la sagrera,9.8821,2271.83333333333,124.33333333333334,9,6,61,1.0,2,2,2,2015,7,3,2,9.783305696202529,9.58571708860759,9.292063671875,8.34
la sagrera,10.114099999999999,2102.016666666665,118.5,9,6,61,1.0,2,2,2,2015,8,3,5,9.8821,9.68451139240506,9.389948144119197,8.553333333333333
la sagrera,10.3461,1932.2,112.66666666666667,9,6,61,1.0,2,2,2,2015,9,3,1,10.114099999999999,9.783305696202529,9.487832616363393,8.766666666666667
